Title,Task ID,Milestone,Target date,Estimate hours,Dependencies,Features,Status
Audit existing prototype,T01,M1,2026-09-30,2,,F01-F09,Ready
Configure development and hosting platforms,T02,M1,2026-10-02,2,,Platform,Ready
Create schema and migrations,T03,M1,2026-10-07,4,T01;T02,F01-F09,Backlog
Implement authentication roles and RLS,T04,M1,2026-10-11,4,T03,F01;F09,Backlog
Implement organization verification,T05,M2,2026-10-16,3,T04,F02;F09,Backlog
Implement opportunity publishing,T06,M2,2026-10-22,4,T05,F03,Backlog
Implement opportunity discovery,T07,M2,2026-10-25,3,T06,F04,Backlog
Implement applications and decisions,T08,M2,2026-11-01,5,T07,F05,Backlog
Implement service submission,T09,M3,2026-11-08,4,T08,F06,Backlog
Implement nonprofit service verification,T10,M3,2026-11-15,4,T09,F07;F09,Backlog
Implement verified-hours dashboard,T11,M3,2026-11-18,3,T10,F08,Backlog
Implement verification record export,T12,M3,2026-11-22,3,T11,F08,Backlog
Test and freeze the core loop,T13,M4,2026-11-29,4,T05-T12,F01-F09,Backlog
Deploy production release,T14,M4,2026-12-03,2,T13,Platform,Backlog
Prepare demo and submission assets,T15,M4,2026-12-07,3,T14,Demo,Backlog
Rehearse freeze and submit,T16,M4,2026-12-10,2,T15,Demo,Backlog
